"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3970","重生战士","Feb 4, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Resight Studio","Resight Studio"
"3971","World of Fantasy: Zero","Feb 7, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","lordmartin101","lordmartin101"
"3972","Elusive World","Dec 23, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PistolizedCannon","PistolizedCannon"
"3973","Tabbris Yor","Mar 11, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rafiki Games","Rafiki Games"
"3974","Polgar: Magic detective","Apr 15, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cooking and Publishing","Cooking and Publishing"
"3975","Ingredienta","Oct 14, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MGames Studio","MGames Studio"
"3976","Mithos","Aug 6, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Taishoo","Taishoo"
"3978","Sword and Space","Mar 31, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Streetwriter","Streetwriter"
"3979","Lame Defenders","Nov 8, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LameGames","LameGames"
"3980","Googass","Aug 25, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brewsterland Studios","Brewsterland Studios"
"3981","Hate Free Heroes Tactics: Strategy Building MMO","Mar 22, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hate Free Heroes","Hate Free Heroes"
"3982","The Invasion","May 27, 2021","$0.9","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gene","Gene"
"3984","Protect Eggs","Aug 3, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RestfulSense","RestfulSense"
"3985","Tree of Mu","Dec 1, 2022","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Squaretide Studios","Squaretide Studios"
"3986","Fiore I: Daffodil","Jun 30, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Violet White Studio","Violet White Studio"
"3987","Hidden Objects - Cartoon Fantasy","Sep 18, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"3990","Once Upon a Time in the Colony","Oct 2, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Song Qiang Sheng","Song Qiang Sheng"
"3991","The Wrath Of The Erlik","Oct 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Temel KIRCI","Temel KIRCI"
"3993","Augmented Future","Nov 18, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spicy Noodle Studios","Spicy Noodle Studios"
"3994","Banished Sir","Nov 10, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vernon E. Slayton III","SirVern Productions"
"3995","Artemis","Nov 11, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alberoni Martes","Alberoni Martes"
